Run,TotalCompleted,TotalRejected,TotalProducts,AvgWaitingTime,FaultyRate,SupplierOccupancy,WS0_Occupancy,WS0_Downtime,WS1_Occupancy,WS1_Downtime,WS2_Occupancy,WS2_Downtime,WS3_Occupancy,WS3_Downtime,WS4_Occupancy,WS4_Downtime,WS5_Occupancy,WS5_Downtime
27,1174,46,1220,2263.05,3.77,3.23,99.99,8.63,97.87,5.16,98.63,61.1,48.48,36.42,48.53,10.51,98.07,60.69
28,1162,53,1215,2258.06,4.36,3.16,100.06,9.84,98.39,7.06,98.36,37.51,47.81,46.82,49.87,35.92,97.32,53.66
29,1176,59,1235,2248.51,4.78,3.35,99.95,25.21,99.3,6.71,98.48,39.92,49.64,57.1,49.39,27.4,97.89,33.71
30,1158,72,1230,2292.54,5.85,3.27,100.07,15.66,99.6,7.28,98.2,30.84,47.5,67.25,50.66,32.71,98.16,47.13
31,1164,64,1228,2308.95,5.21,3.42,100.05,17.23,99.7,3.92,99.76,39.24,49.02,56.81,51.09,26.7,97.69,62.04
32,1169,54,1223,2329.29,4.42,3.19,100.02,25.04,99.76,0.0,98.37,35.35,52.29,49.87,46.9,16.64,97.5,30.21
33,1163,68,1231,2294.4,5.52,3.23,100.0,4.19,99.55,2.69,98.82,34.65,49.87,86.16,49.48,31.09,98.71,36.63
34,1165,65,1230,2289.72,5.28,3.26,100.05,16.34,99.67,0.58,98.56,65.16,45.02,59.25,52.44,23.2,97.33,33.26
35,1168,50,1218,2312.12,4.11,3.25,100.06,23.31,99.22,0.0,97.64,31.6,46.85,61.62,50.4,6.93,98.05,54.92
36,1159,63,1222,2296.78,5.16,3.17,100.0,14.84,99.78,10.1,98.78,48.07,48.39,68.06,49.75,27.43,96.25,49.3
37,1186,40,1226,2358.31,3.26,3.25,100.03,1.25,99.89,24.37,99.51,67.24,52.0,34.13,46.56,9.89,97.45,57.42
38,1168,57,1225,2324.26,4.65,3.22,100.04,39.56,99.7,5.71,97.6,33.73,50.09,46.77,48.39,26.53,98.29,50.01
39,1155,62,1217,2316.09,5.09,3.23,100.07,12.29,99.13,8.01,98.67,22.72,47.49,45.75,50.2,36.66,98.31,80.27
40,1153,70,1223,2289.74,5.72,3.21,100.04,7.01,98.68,14.93,99.57,37.13,46.87,29.48,51.57,23.79,97.09,45.76
41,1162,60,1222,2255.85,4.91,3.24,100.08,14.9,99.59,0.27,98.74,36.45,50.96,41.03,46.13,28.45,97.88,88.84
42,1170,61,1231,2283.88,4.96,3.25,99.96,11.32,99.75,5.91,98.28,27.64,52.01,46.48,47.05,25.49,98.68,78.72
43,1161,62,1223,2268.4,5.07,3.35,100.04,11.73,99.3,6.29,98.28,12.6,49.48,60.73,49.57,20.48,98.29,54.79
44,1155,66,1221,2257.11,5.41,3.24,100.05,25.58,99.88,0.0,97.58,46.13,51.44,30.23,47.2,12.64,97.55,43.09
45,1155,57,1212,2346.65,4.7,3.3,100.03,12.88,98.72,9.61,99.14,41.5,49.03,61.66,48.5,25.77,97.55,33.76
46,1174,41,1215,2331.73,3.37,3.3,100.03,29.98,98.51,18.83,98.23,24.03,49.28,64.57,49.16,23.07,96.33,25.24
47,1157,71,1228,2230.71,5.78,3.21,100.02,8.03,97.96,8.49,98.19,68.79,50.02,72.81,48.82,33.33,99.08,44.6
48,1163,61,1224,2352.4,4.98,3.17,100.02,6.27,99.4,8.14,99.53,40.5,50.56,88.4,48.21,27.49,98.7,35.68
49,1168,51,1219,2263.31,4.18,3.24,100.06,18.33,99.56,5.47,98.43,28.52,47.21,36.78,52.25,15.84,98.48,44.61
50,1170,55,1225,2257.44,4.49,3.17,100.07,9.24,99.4,0.0,98.08,36.53,47.56,23.59,50.33,41.22,97.06,60.52
51,1153,68,1221,2237.28,5.57,3.24,100.04,9.53,97.62,14.6,98.66,48.94,49.12,49.68,47.86,14.15,98.15,53.21
52,1162,55,1217,2313.45,4.52,3.23,100.0,20.35,99.23,16.12,98.43,25.61,47.59,57.64,51.12,33.86,97.82,17.96
53,1151,65,1216,2268.29,5.35,3.28,100.06,7.54,99.04,22.81,98.3,23.62,48.92,40.22,48.87,9.23,97.35,48.38
54,1155,66,1221,2309.3,5.41,3.29,100.03,7.93,99.09,0.44,98.55,37.81,51.66,53.34,46.74,35.1,98.94,13.78
55,1146,63,1209,2238.67,5.21,3.21,100.07,4.66,97.7,11.29,97.62,16.9,49.54,76.1,47.77,32.71,96.32,40.46
56,1139,73,1212,2288.45,6.02,3.22,99.99,5.13,98.3,3.97,96.7,28.57,45.61,25.94,49.78,23.23,96.65,37.63
57,1159,56,1215,2309.97,4.61,3.18,100.06,29.59,99.3,4.9,97.98,33.57,50.03,77.72,48.17,17.38,97.32,66.71
58,1159,67,1226,2279.13,5.46,3.25,100.06,9.81,99.84,1.56,98.84,33.54,47.56,56.84,51.78,42.23,98.2,50.44
59,1156,67,1223,2339.17,5.48,3.35,99.95,19.95,99.0,2.37,98.0,58.29,47.68,94.36,49.37,6.1,98.6,38.42
60,1162,64,1226,2267.13,5.22,3.22,100.0,7.62,98.94,0.29,98.81,37.46,47.58,27.42,51.97,37.91,98.06,16.26
61,1171,51,1222,2219.91,4.17,3.29,100.02,26.39,98.97,12.65,98.15,31.66,50.21,30.8,48.37,21.67,97.26,15.97
62,1165,62,1227,2278.37,5.05,3.22,100.06,27.07,99.78,2.1,98.95,23.4,50.28,43.15,47.08,16.42,96.69,40.38
